date_and_time,rainfall,wind_speed,temperature,dew_point_temperature,relative_humidity,pressure,thickness
7_00,30,2.5,25,25.1,20,900,5140
07_06,40,6,27,25.2,25,905,5100
7_12,60,3,30,25.5,30,912,5200
7_18,35,5,35,25.8,33,904,5110
8_00,55,12,25.5,25.3,27,910,5203
08_06,42,11,34.8,26,25,1000,5220
8_12,29,5.5,29,25,32,904,5120
8_18,54,4,30,30,31,903,5160
9_00,66,7,31.4,25.7,23,1002,5109
09_06,37,16,32.5,30.1,22,1005,5201
9_12,89,11,33,26.5,32,906,5104
9_18,65,9,28.9,27.1,25,902,5209
10_00,47,10,27.4,24.2,22,1007,5200
10_06,43,3,25.8,30,29,900,5106
10_12,32,9,27.4,25.8,30,905,5116
10_18,78,16,26.9,29,26,1001,5129
11_00,67,19,34.7,29.4,32,900,5220
11_06,75,20,35,28.6,30,904,5200
11_12,45,3,36,27.4,28,1005,513
11_18,23,5,23,30.2,27,903,5109
12_00,76,2.8,35.5,25.8,20,902,5119
12_06,46,7.5,37,26.5,30,907,5115
12_12,65,3.2,36,28.4,23,1005,5215
12_18,35,6.9,27,29.5,22,906,5116
